#,Kingdom Name,Population,Best power clan name,Best kills clan name,Best power player name,Best kills player name
1,#776 Aeprenia,37184,KYUSYU,KYUSYU,Dark M,Dark M
2,#775 Eavadia,32034,Esquadrao de Elitee,Esquadrao de Elitee,Hiden,come go
3,#773 Ikruborg,27303,bww,bww,Eurybia,hastily
4,#774 Uliston,24191,Total D0mination,Total D0mination,TigriVik,TigriVik
5,#772 Eyminh,23140,ertis,Nu Omega Delta,RamrodUSMC,RamrodUSMC
6,#771 Uteston,20196,771,Equipo Activo,xiao11111,xiao11111
7,#770 Kodora,17848,Kaum Barbarian,Kaum Barbarian,choub,Sutawijaya
8,#769 Uwruinia,17550,AXXO,AXXO,xAngry Birdx,z16
9,#768 Khuwyth,15880,ART OF WAR LTD,ART OF WAR LTD,AOW,AOW
10,#766 Aekhavell,15085,BLACK PEARL PIRATES,BLACK PEARL PIRATES,yuri88,ChaChaSmooth
11,#767 Aiqeantis,14850,biu   biu  biu,67V,520Winnie,v1v1
12,#764 Westa,12822,Metal Heads,Arab knights,Covid 999,Covid 999
13,#765 Gobraryn,12516,We are Family,YHZS,wa   haha,wa   haha
14,#762 Avroudal,11326,Zero Fcks Clan,Zero Fcks Clan,Leng Leng,masa30
15,#763 Cruiweth,11314,283,283,Lumier,Requirement
16,#760 Ophuirus,11023,Peoples Army,Peoples Army,Black Gale,Ganja Wiz
17,#758 Neorus,10226,Monster Hunters Apex,Monster Hunters Apex,Cashless,Aladin0
18,#756 Prumore,10014,Kingdom Brigade,Kingdom Brigade,TitsMcGeexo,Miss FitToy
19,#754 Crothen,9598,ALIANZA MADRID,Dodoles,HarlyMuffin,Baby Rider
20,#748 Ipredora,9594,LeClanDesFr,LeClanDesFr,NinjaAli,A000001
21,#761 Phalyra,9339,CZR,CZR,Xperia,Xperia
22,#752 Xutus,9219,Fk Your Drama,Fk Your Drama,OlecHisingen,1RON
23,#666 Hardhaus,8795,Against All Odds,Rest in Anarchy,Tatatq,OOO SkyCute
24,#759 Veovia,8764,Uchiha,Indian Warrior  01,shangtian,shangtian
25,#750 Mephate,8745,Zodiacs,Zodiacs,Th1970,N0 Shanks
26,#668 Shanlarney,8684,Super Great Memers,Burn Zero Repeat,Da WeiGe,LH Bing tang
27,#746 Bawyth,8555,Secret Society,Secret Society,yuzu009,Pak 0gah
28,#755 Abreavell,8528,Fighters Boku Hero,ZHONGGUORENA,Henyooo,ZG Lin
29,#673 Grausbirn,8477,AnotherMillionKillz,Nothing but killaz,AD4M52,AD4M52
30,#334 Rankheim,8414,Rally Till Capped,Rally Till Capped,Buds Spencer,K 007
31,#682 Harstadt,8406,Insidious Reapers,Insidious Reapers,supertashi,supertashi
32,#749 Bruzoith,8398,HYDRA Warriors,Guardia Nocturna2,KK 77777,KK 77777
33,#676 Maasringen,8137,CAND VIET NAM,CAND VIET NAM,158851,Salikoe
34,#525 Nightacre,8093,NO1Zanies,NO1Zanies,KillerDoll,ciagrs Tg
35,#757 Edatish,8008,The Latin sect,The Latin sect,II RAGNAR II,xiaimmy
36,#744 Trezar,7991,United ROSE Guild,United ROSE Guild,DJ0304,La Flame
37,#669 Vollehof,7947,Reign Of Destruction,Reign Of Destruction,MrCupidChips,MrCupidChips
38,#751 Elearia,7838,Vikings O,Vikings O,kamadotanjir,kamadotanjir
39,#753 Zonyth,7811,14 88,rainhafloroficial01,IG HG,IG HG
40,#621 Vilfeld,7808,GNK,Forever Super HORNY,SugarWay,KW  Chen Ye
41,#604 Surfelden,7791,Xiao Chi huo,xXx Happy Hour xXx,tnx lyc,Bhost
42,#675 Zotaarde,7436,Art 0f War,Art 0f War,TheGuardian7,WoodyQ8
43,#672 Wiedliskon,7344,HPY,Alpha Lobos,North London,DNATION
44,#742 Prevell,7212,Cambodia,Cambodia,FireFist AAA,ha so happy
45,#671 Delecour,7194,Rafegu,Egotistical Leads,WizardOfTozz,TheNakedSnek
46,#598 Thannstedt,7180,BIG BOSS,The GreatWall,Stephen 9,Gog Bonnie
47,#665 Courzieu,7163,KDA and FDA,Sugar Kingdom,SugarPain,FY zhan
48,#747 Priwyeth,7161,killers king  GHL,killers king  GHL,bai wei,TF GOOD
49,#731 Vrigstrom,7109,Guards of Elysium,Guards of Elysium,4Sell,MOLLY MALONE
50,#677 Rounoit,7075,For Fire Sake,For Fire Sake,PDZ mgl,I loveBDSM
51,#722 Truizia,7073,MADE IN INDONESIAN,Viet Nam Number One,7 NESSUNO 7,BigBoss001
52,#724 Wouhart,6998,Arrow,Arrow,SirBigBoss,Dont Rally
53,#727 Irithen,6956,BIBARS92 farms,monster 333,XXNAOYAXX,PantsA
54,#53 Cephia,6925,Top of Korea,Top of Korea,LHaBIGMAN,OlDirtyBBQ
55,#738 Eabrutis,6918,Lord Ro3,Forbidden Army,GhinggisKhan,GhinggisKhan
56,#745 Musania,6895,Trans Federal Govern,Trans Federal Govern,Vip 20208888,Dou Jiang
57,#681 Coatetd,6829,HX1,HX1,Zz ZxZ,dPsyclone
58,#570 Nieuwventer,6723,Sugar Rebels,Sugar Rebels,Do Avril,Do 7 Fire
59,#733 Aceania,6608,Final Demise Jr,Final Demise Jr,Frieza,Frieza
60,#684 Hereik,6585,Exiled Delinquents,Exiled Delinquents,UAE999 AD,FightingPut0
61,#734 Ostisha,6447,HAKKIN SAVASCILARI,HAKKIN SAVASCILARI,Baha1970,KOR  killer
62,#740 Zigubia,6441,God of War,God of War,End001,B3AST MOD
63,#723 Ogriwen,6388,EMZ,EMZ,YanShiLong,LeKi0
64,#514 Telenenii,6365,Sweet Revenge,Sweet Revenge,1 Viking,J ROSES
65,#542 Midwich,6351,Strangers With Candy,Size Matters,Gia Huy I,Fenris23
66,#729 Abridour,6272,Pakistan Fighter,BBF,Master013,GNF AIWater
67,#714 Drethen,6246,TheCrawLe,Lobos dorados,Overthrow K9,MyMy47
68,#735 Privetig,6211,Time To Die,Time To Die,CN  xiaofan,Xu 4Ever
69,#730 Ewusta,6136,HKNB,Royal Legacies,SsWuShuang,guoguoguo
70,#726 Umaniel,6103,OPG,OPG,NEILQS,KW1 FANG
71,#353 Biscena,6086,RecklessEndangerment,RRRR,AEBAS,O T A K M U
72,#674 Altenkirchen,6034,Eeveelution,Eeveelution,An Maxsk,Xx12thManxX
73,#610 Martilun,5998,SSZandJIU,SSZandJIU,rogerdeflor,FinalCall4u
74,#670 Westeroord,5995,VictoryTime,VictoryTime,HGB 0613,F biu biu er
75,#380 Louvem,5931,Ruthless Savages,Ruthless Savages,Hussla,Ci Xi
76,#224 Bregimor,5911,Resurrection Korean,Rejected DiCs,DW njsgs,ONE 8 SEVEN
77,#613 Auerthal,5898,QUEENS KINGS BURNING,The FrostWolf Hunt,garyh,DrMag
78,#369 Irattos,5817,The Black Eagles,The Black Eagles,Schlingel,ImSoNotMarco
79,#607 Traisdorf,5799,MonsterHunt Mayhem,Los Yonko,Poison29,Lumberks
80,#667 Schwarzenkau,5765,Drunken Empire,Drunken Empire,POD Ricky,MelDestroyer
81,#725 Avarus,5740,VietNamAirLine,VietNamAirLine,Suny 29,Revvy
82,#196 Kraloxia,5712,Str8 Outta Valhalla,Skyworld,KWTxQ8,PrisonBarbie
83,#741 Adaliseon,5660,ess,MxJ A,SpicyTrojan,davejavu
84,#710 Prudolia,5654,2BC,2BC,Ldm Wx,BiuBiuRT
85,#716 Ruvaria,5612,x War Angels,x War Angels,GG DADA,x LordAngel
86,#713 Wredoia,5582,Fear No God,M3Rp4T1 Indon3siA,Iam G D L,Iam G D L
87,#737 Acikya,5550,KingDoms Lucks,KingDoms Lucks,Volkana,Ms finger
88,#736 Ivado,5528,United forces,Ape cult,Nightmare222,EVILCHAR
89,#732 Wredal,5511,Crazy Cash Warrior,Crazy Cash Warrior,DW RED devil,BEARHAX
90,#739 Ovranao,5482,Valhalla warriors,Valhalla warriors,EV Sam,DRAGONy
91,#743 Vrarus,5440,GothDemonSinner,GothDemonSinner,KK Rosmarin,Proud Fool
92,#574 Lisrey,5440,Not For Kids,Not For Kids,GenTleFarmer,Fat Chicken
93,#720 Brothia,5380,Jedi Mind Tricks,AcidDroppers,Bstack,Bth 1st
94,#82 Atrixcester,5291,I N V I C T U S,Les Flamants Roses,Zeriano,Dr sherif
95,#471 Brimwe,5267,D j b,Shield 0r 3urn,Crazy TATA,Domepiece
96,#718 Ivosia,5253,Rally Crew,Rally Crew,Zer0Fawks,Ta Espost TB
97,#728 Shunad,5234,Nyasa The Queen,Nyasa The Queen,FR SUN 110,xAPOCALISISx
98,#715 Leovar,5230,Contri Yantri Tantri,Contri Yantri Tantri,Crocodilo7,ZD1 YDYDDAA
99,#680 Beldare,5225,ANi,ANi,nhanhoangkha,Guildburn
100,#641 Tralarney,5215,Loyal Crunchies,Loyal Crunchies,ImLuvinit,xPapa Questx
101,#679 Elterstadt,5210,RussianKingdom,RussianKingdom,N dafengchui,WORLD     K
102,#222 Ciryn,5144,Magic Jumpers,theHORDE,EazyEric,AnihiliateYT
103,#645 Illhurn,5114,Immortal Deviants,Immortal Deviants,CN WJ0001,Urmawm
104,#662 Maasden,5089,AAAAAA,AAAAAA,ZombieFarm,Azoumi 58
105,#589 Nieuweborg,5085,z OveRLoaD z,z OveRLoaD z,Dr JIANGYOU,c3paliz116
106,#409 Vamanet,5045,Silence Reborn,Silence Reborn,1942 01,WildbullyOne
107,#558 Hernau,4997,The Original Family,The Original Family,NUOC NAM,nfry
108,#644 Apelsingen,4997,Zjednoczona Ekipa,Sh1t  HAPpens,tetooo te123,West
109,#344 Grerron,4991,SPARTAN DEMONS,SPARTAN DEMONS,ToMo7231,Indra Joker
110,#10 Hampire,4945,JSC  LORD,Warlords Germany,Hausinger,Fennok
111,#635 Kirchnitz,4945,7legioN,Morning Gangsters,StaR LorD II,Ivan The God
112,#550 Humenzev,4898,City of Angels,City of Angels,14Tony14,Mystique 19
113,#721 Soliweth,4893,la etnnia,la etnnia,baqifeige,onetech
114,#331 Friedding,4880,Savage Sloots,Savage Sloots,Brikichi,iScoutDedPpl
115,#1 Roseneth,4863,Hells Rejects,Hells Rejects,Spiritkeeper,Ray3viL
116,#711 Axazar,4843,LHH,LHH,HUKss,Eproom
117,#211 Maeburg,4835,Robocop,Rejected,Mukitamago,KhanhT
118,#74 Atuifham,4823,Nude Tea Party,Nude Tea Party,Old LuciRu,CoatedNuts
119,#623 Haleik,4780,Northern Vikings,Chomp My Box,GutsNoGlory,Jacob 24
120,#640 Naumbeck,4778,ll Prestige,ll Prestige,BangM4m4D,sora222
121,#480 Everwell,4768,brotherbond,SmartMart Bus,PG S H PAPA,ahmd1991
122,#63 Xlaukpus,4765,Geilste Crew Ever,Clan Indo Elite,Kal s,IDkEugeneDel
123,#228 Sevia,4693,The Golden Phoenix,The Golden Phoenix,wrathbound,U cai
124,#717 Crevica,4647,god of hell,god of hell,K90 J,Thanos 666
125,#712 Unaeta,4643,Overload champ guild,Overload champ guild,Admiral X,Admiral X
126,#285 Olacaea,4639,DeVillZ,DeVillZ,kainai,Pvssy Hunter
127,#488 Pineglen,4611,OPRESSORES,VIP Hunters,WH TOW OF,Rawriorr
128,#660 Vocklarau,4610,T1 Siege,T1 Siege,Msftz,CaturixKongz
129,#31 Khirenth,4578,Birlik ve Beraberlik,Birlik ve Beraberlik,MElazy,Zuba
130,#373 Lamenoa,4571,Mighty Rebels,Cool Team,ljubljana,DayDrinker
131,#683 Doetinveen,4558,Pao,UBC fountain,BabyRangerZ,Whatsxs
132,#678 Helmlingen,4548,Welcome to MaiCun,Welcome to MaiCun,DAO DAN,ZZ xiao qin
133,#719 Sturial,4545,GAURDIANS DEN,GAURDIANS DEN,SanMiguel,docash
134,#506 Whitescar,4541,Russian Killers,Move 2 Kill,farfor252017,FreshEvil
135,#544 Newbreach,4522,Feast Or Famine,Feast Or Famine,BJ  AAAsuka,D R A K E Y
136,#332 Midlerush,4516,Flat Earth Society,Flat Earth Society,Lalarix,Atarli Deli
137,#109 Ephoit,4442,WarriorWonder BrasiL,One Death Angel Love,x W E O N x,Polenguinho
138,#551 Mitterten,4429,ExBB,ExBB,SG Phil,PH HokagE
139,#197 Yaris,4426,Union of Arab armies,Dragones Fantasmas,MaNdYxo,TAKAREISI 53
140,#541 Aknda,4365,Korea Monster Hunt,Big 420 Family,B a N e86,MrFabulous
141,#685 Waldenhurn,4295,HBM,House OF Doom,CJ      FY,PinataOfDoom
142,#3 Loerad,4285,XxARxX,XxARxX,MAKOBOY,ares is back
143,#701 Hvelstreg,4263,Vera,Vera,CrazyMOMO,JP917
144,#708 Amantis,4254,hot House 1,hot House 1,Midorisa,IKarUs27
145,#688 Bruglecht,4240,AA7,Mystical Tigers,PissPickle,Ginnko
146,#342 Laldron,4239,Kingz and Queenz,Kingz and Queenz,TEGMEN,Inti Raymi
147,#304 Arnewarden,4230,RussianFriends,RussianFriends,H  i,GinNJuice
148,#703 Cortugon,4217,Star Alliance,Star Alliance,703 Victor,703 lithong
149,#654 Slihill,4156,KillerMuppets,KillerMuppets,VvvwvvwV,C0NAN
150,#118 Afresa,4151,Turkish Defend,Turkish Defend,Dogan1,59 Usta
151,#527 Rustport,4149,KTN,x One For All x,LEGEND44,Mi   Casa
152,#638 Avinnois,4140,The Phoenix Nirvana,The Phoenix Nirvana,freeman225,Phuc LA
153,#617 Dierveen,4136,Ruthless Invaders,Ruthless Invaders,zHuyDuBaiATK,Batman MCA
154,#129 Brada,4132,Destroy   Everything,Titans of Chaos,IXLuciferXI,ESMAGA BR
155,#9 Ildoran,4082,Destemidos Br,X yaseer X,S1 makelove,3zf
156,#227 Vreothen,4064,KFC  Vication,KFC  Vication,N1NguyenQT,Zodiacos
157,#384 Lurdenone,4060,MAJESTIC,MAJESTIC,Puh Veliki,General Rx
158,#695 Arkenny,4040,Natural Born Killer,Natural Born Killer,Azzyrian,Bl4cKoutz
159,#476 Valpagoa,4036,MIP and WoG,The FrostWolf Clan,TinkleCat,Wrath o Gods
160,#608 Naamlecht,4025,Faith,Lobos Hispanos,Bobu216,Brr8
161,#88 Srale,3961,K and AOK,K and AOK,thunthun1,zZzShADoWzZz
162,#628 Donelick,3937,Easy Come Easy Go,Battle Royal,JS  SpcMoon,Js cn Luyia
163,#590 Kreuzgen,3935,Polish Legion,Bloody tigers,hunTTer,100ManSlayer
164,#433 Aurimont,3916,German Elite,World of Warriors S,Scar187,ZylwA Ltu
165,#316 Staraia,3912,Ero Legyen Veled,Money money money,Hibb777,Crys1987
166,#346 Arcona,3900,MEN OF TITANS,MEN OF TITANS,PizzaCrime,ROSS X
167,#91 Laikleah,3900,AX75968,Strike Force Rebels,Jax is jax,X x KING x X
168,#400 Ascosa,3895,Ending meansstarting,Ending meansstarting,Fat K,Cinnabunnz
169,#325 Finhos,3853,Hunting Lv1 Monsters,Hunting Lv1 Monsters,NoSoulGinger,Evil Anus
170,#135 Ruslicdiff,3848,The Phoenixes,The Phoenixes,Rogue Won,Rogue Won
171,#468 Campolieri,3788,999 We love you,King of the Gods,999 NEMO,W x Huruiqqq
172,#686 Beaulogne,3775,Crazy Hunt Squad,Crazy Hunt Squad,DONAchan,Keygan Fury
173,#646 Thalnacht,3758,The Drunk Alliance,Lz88,Tez,Lo DeG0
174,#699 Bellinrus,3757,Bring The Boobiess,NHB,NHB 1999,NHB 1999
175,#104 Gretin,3748,KING OF DRAGON,KING OF DRAGON,Anemone AMT,lord sona
176,#50 Izentia,3743,mini xo,BoRn To LeaD,cai cai,LudOs 1
177,#314 Badaloma,3722,Suicide Squad,Suicide Squad,WARmnFuzzy,xKampfMietze
178,#580 Furstennau,3698,elgjwt,Original Gs,VeryBeary,BILLY 2306
179,#465 Santaguna,3692,Brave Lions,Brave Lions,Cracka1,Hs1019
180,#153 Ashtael,3692,UA  Head Hunters,Desperate Wars Rus,Joximo,Barcas UA
181,#283 Graeton,3691,Ruthless Rebellionz,Ruthless Rebellionz,XB Laotou,1Nomad
182,#475 Hemsund,3667,Let us play GaMe,Let us play GaMe,TIRAILLEUR,HoldmenPT
183,#29 Slarotia,3666,BTH,BTH,Nap5,Salam BaBa
184,#423 Gladenbach,3666,Balance team Russia,Balance team Russia,MaxKings,Canna
185,#352 Setiva,3657,FamilyOUT OF CONTROL,FamilyOUT OF CONTROL,Cute Clown,P3rs14
186,#533 Wrentwich,3647,Blue Sea,Harbingers X Dragons,THING   2,Gytis
187,#108 Flonio,3647,Ruthless Clan,Ruthless Clan,Mu Qing Long,Vi Tieu Ca
188,#238 Idaica,3644,Olympia,FIGHTER OF INDO,shadowtan82,Lampoor
189,#429 Whitehaven,3638,Los mas OdiadosxD,Los mas OdiadosxD,Shadyplace,franciscoss1
190,#335 Esslingen,3637,VN Dragon,VN Dragon,BlackPink,Alexx Ti
191,#535 Grolosta,3629,Deadly Penguin Squad,Deadly Penguin Squad,Freightliner,Freightliner
192,#190 Grenyth,3629,TheUnitedFamily,Black Zone of War,Infra Red,MasamuneX
193,#694 Northdon,3607,SHW,SHW,King  ting,xiaodaoyu
194,#115 Achionving,3573,Triple G,Kollektiv of Killers,SF  Arthur,J3thro
195,#351 Filassa,3540,Xaoc B Hockax,Jedi Guardians,LetMeZeroYou,Cavouras
196,#549 Amberlight,3540,Valiant Wolves,Valiant Wolves,Tsj Ouye888,Sorray
197,#511 Goldbrook,3527,ThailandNumber1,ThailandNumber1,Lala1703,21st No One
198,#417 Risenza,3525,INDIAN ELITESS,INDIAN ELITESS,Stikman,Evil bob
199,#43 Tulipede,3524,Another Peace Guild,Nazwa nieznana,BERURIN,Angry  Birds
200,#114 Dtetol,3523,Los Inmortale Unidos,BIPOLAR CR3W,ElHades,FICHEROMAZNA
201,#515 Summerwe,3522,Rescue Rangers,Rescue Rangers,Phuong n1,HattoriJosh
202,#361 Lamevelas,3521,1 for All,L3GION OF DOOM,paruli,KCleebrandon
203,#505 Starachowa,3519,WIELKA POLSKA,WIELKA POLSKA,DaKnave,xDaMaGeDx
204,#563 Romainstuhl,3516,ready2fire l GER,Ejercito Libertador,CL 3DU5T4RWD,P4 the King
205,#649 Zoutzen,3512,JVT 1,JVT 1,Targaryen23,Targaryen23
206,#201 Gralum,3499,1UK,1UK,TomKay,Gorky
207,#169 Truneron,3493,DJJ,DJJ,Duke Dodoro,friskee90
208,#627 Sachsenzach,3487,7758258,THai power,NB JioJio,Locall3oy
209,#619 Lenzrus,3483,ZeroedWhileMoist,ZeroedWhileMoist,Drakker Noir,BEkBoL
210,#324 Dradallos,3480,M19,M19,Mr   DAIFUKU,KingRagnar87
211,#651 Bormur,3473,original aspiration,original aspiration,230000 volts,GAAL XXX
212,#656 Blokschede,3471,M4SSIVE HUNTS,M4SSIVE HUNTS,QofHELL,REGION74
213,#375 Madeia,3468,RenegadosBR,New World 3ra,Kisi CKE,Mil3zz
214,#663 Woluberge,3446,CS9,Drunken Hunters,Its Hurt,AC21
215,#696 Enzand,3446,BBN,BBN,V V1,YunNi
216,#659 Porrennau,3444,DescendantsRusEmpire,DescendantsRusEmpire,Acartia,AfroBoss
217,#658 Dubenzach,3443,JointheFightClub,JointheFightClub,Saga7777,Joshy Noshy
218,#700 Muhlrath,3439,QEQ,Overlord me,Zhen xing,kar joker
219,#437 Ballinlae,3436,Garudaa Muda,Handsome Guys,BtR DouFU,N3 Mr Bin
220,#629 Dungardee,3433,Martyred Xecution,Martyred Xecution,Flung Poo,Kango Inc
221,#630 Dorlem,3432,KillThrillandChill,KillThrillandChill,Clears X,Hydra Master
222,#444 Valezde,3424,WdW,WdW,Efce1,ImSo muck23
223,#664 Gression,3422,Gummy Phoenix,Immortal Regiment,BYF  MOMOHEI,Harley Qulnn
224,#112 Wrianving,3421,ESPIRITU DE FENIX,ESPIRITU DE FENIX,EL CHAPO MEN,AD4NALI
225,#281 Kaviel,3419,Loups de argent,Loups de argent,Ninjamaru,Brutank
226,#650 Haslaas,3415,BADAZZ UNDERDOGS l A,Sins of Havoc,K DANGUN,Rich Team 88
227,#691 Roamasse,3405,EEY,EEY,CovidVACCINE,Wild HaC
228,#704 Priffunia,3390,obo,obo,AL Finchy,anTianLi
229,#290 Kreria,3382,Love forever,Ali3nSofApoc4lypsE,woodstock F,lc3man
230,#697 Genfort,3369,The Old Farts,The Old Farts,Nightchill,Fury  1
231,#259 Ixeakoria,3359,One Red Rose,One Red Rose,HasanBaba02,Vapor 79
232,#586 Sachsenholder,3358,Free   Realms,Free   Realms,jintony,Kingyplayz
233,#553 Brasbeek,3353,Hindustn Mega Titans,Hindustn Mega Titans,Lord boobies,DRAGONIOUS
234,#562 Vollefoort,3337,Feel Very,Feel Very,Mr  dragon,Sugar Ran
235,#60 Koyeles,3328,CarpeOmnia,CarpeOmnia,SlowP0ke,The Chris
236,#130 Vloaglando,3324,Double Of box War,Double Of box War,Bumblebee,S1 YU8888
237,#655 Drogreen,3314,Miaomiaomiao,Miaomiaomiao,White Zombie,Chn Chinese
238,#642 Youkenny,3311,water Dog Gang,water Dog Gang,OLD 50,KoOoOoN
239,#258 Cruwyth,3307,GM6,BloodMafia,xue  lang,FZ maladov
240,#321 Setulves,3303,Greek Warriors,Planet RayGeta,hotrodderbob,1ADONIS
241,#321 Setulves,3303,Greek Warriors,Planet RayGeta,hotrodderbob,1ADONIS
